 ,Area,Mean,Min,Max,X,Y
1,0.000,0,0,0,236.052,46.794
2,0.000,0,0,0,285.446,530.857
3,0.000,0,0,0,58.233,122.185
4,0.000,35,35,35,372.536,180.679
5,0.000,33,33,33,358.757,176.519
6,0.000,10,10,10,354.338,166.900
7,0.000,19,19,19,394.373,150.002
8,0.000,27,27,27,397.233,134.924
9,0.000,8,8,8,393.593,127.645
10,0.000,20,20,20,399.053,115.686
11,0.000,9,9,9,383.194,147.142
12,0.000,13,13,13,376.435,138.304
13,0.000,20,20,20,366.036,142.723
14,0.000,10,10,10,357.977,149.222
15,0.000,45,45,45,341.339,148.962
16,0.000,6,6,6,336.920,139.603
17,0.000,4,4,4,343.939,137.784
18,0.000,21,21,21,333.280,129.985
19,0.000,40,40,40,335.100,121.666
20,0.000,16,16,16,343.159,125.305
21,0.000,18,18,18,350.438,132.064
22,0.000,2,2,2,357.457,128.165
23,0.000,5,5,5,351.478,112.307
24,0.000,19,19,19,343.939,103.728
25,0.000,31,31,31,331.721,107.627
26,0.000,21,21,21,366.036,108.927
27,0.000,36,36,36,373.056,108.667
28,0.000,34,34,34,368.896,100.608
29,0.000,25,25,25,380.595,104.248
30,0.000,4,4,4,389.434,99.568
31,0.000,18,18,18,374.355,94.889
32,0.000,9,9,9,387.354,77.991
33,0.000,19,19,19,382.674,65.252
34,0.000,8,8,8,371.496,63.432
35,0.000,12,12,12,356.938,64.212
36,0.000,34,34,34,351.738,72.011
37,0.000,19,19,19,358.497,75.391
38,0.000,16,16,16,361.097,86.050
39,0.000,5,5,5,334.840,89.169
40,0.000,8,8,8,326.001,77.731
41,0.000,2,2,2,359.537,118.806
42,0.000,14,14,14,379.555,113.606
43,0.000,1,1,1,359.797,105.547
